#f[Hz]	Um[V]	Us[V]	Is[A] // Delta Is = 0.001A, Delta Us = 0.20V, Delta Um = 0.05V, Delta f = 0.5Hz bzw 1Hz für f>100Hz
20	0.90	2.15	0.353
40	1.12	2.10	0.226
60	1.20	2.15	0.161
80	1.22	2.10	0.123
100	1.26	1.95	0.099
120	1.26	2.00	0.083
140	1.26	2.05	0.070
160	1.26	1.95	0.061
180 	1.26	2.00	0.054
200	1.26	1.85	0.049
400	1.30	1.90	0.022
600	1.30	1.90	0.013
800	1.30	1.90	0.008
1000	1.30	1.90	0.004
1200	1.30	1.90	0.002
1400	1.30	1.85	0.001
1600	1.30	1.85	0.000
1800	1.32	1.85	0.000
2000	1.32	1.85	0.000	
